DATE,Address,Leese's Date,Title,Note
28.01.2009 tinted blue (part of),Transformer Chamber (Ground Floor),23.01.2009 99 years from 23.1.2009,EGL551039,
09.07.2009 Edged and numbered 2 in blue (part of),"Endeavour House, 47 Cuba Street, London",06.07.2009 125 years from 1.1.2009,EGL557357,
25.09.2009 Edged and numbered 3 in blue (part of),"Mayflower House, Westferry Road, London",10.09.2009 125 years from 1.1.2009,EGL560877,
16.12.2009 Edged and numbered 4 in blue (part of),"Flat 1602, Landmark West Tower(sixteenth floor)",12.11.2009 999 years from 1.1.2009,EGL565026,
17.12.2009 Edged and numbered 4 in blue (part of),"Flat  207, Landmark West Tower (second floor flat)",01.12.2009 999 years from 1.1.2009,EGL565086,
17.12.2009 Edged and numbered 4 in blue (part of),"Flat 704, Landmark West Tower (seventh floor flat)",04.12.2009 999 years from 1.1.2009,EGL565089,
18.12.2009 Edged and numbered 4 in blue (part of),Flat 2207 Landmark West Tower (twenty second floor flat),01.12.2009 999 years from 1.1.2009,EGL565182,
23.12.2009 Edged and numbered 4 in blue (part of),Flat 1201 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL565292,
23.12.2009 Edged and numbered 4 in blue (part of),Flat 403 Landmark West Tower (fourth floor flat),27.11.2009 999 years from 1.1.2009,EGL565293,
05.01.2010 Edged and numbered 4 in blue (part of),Flat 1105 Landmark West Tower (eleventh floor flat),01.12.2009 999 years from 1.1.2009,EGL565470,
06.01.2010 Edged and numbered 4 in blue (part of),Flat 1019 Landmark West Tower (tenth floor flat),02.12.2009 999 years from 1.1.2009,EGL565616,
08.01.2010 Edged and numbered 4 in blue (part of),Flat 203 Landmark West Tower (second floor flat),09.12.2009 999 years from 1.1.2009,EGL565645,
08.01.2010 Edged and numbered 6 in blue on supplementary plan 1,Parking Space 80 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565724,
08.01.2010 Edged and numbered 7 in blue on supplementary plan 1,Parking Space 81 Landmark West Tower (basement level),12.11.2009 999 years from 1.1.2009,EGL565725,
11.01.2010 Edged and numbered 4 in blue (part of),Flat 808 Landmark West Tower (eighth floor flat),27.11.2009 999 years from 1.1.2009,EGL565765,
12.01.2010 Edged and numbered 4 in blue (part of),Flat 604 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565856,
12.01.2010 Edged and numbered 4 in blue (part of),Flat 603 Landmark West Tower (sixth floor flat),30.10.2009 999 years from 1.1.2009,EGL565866,
13.01.2010 Edged and numbered 4 in blue (part of),Flat 1801 Landmark West Tower (eighteenth floor flat),22.12.2009 999 years from 1.1.2009,EGL565967,
15.01.2010 Edged and numbered 4 in blue (part of),Flat 1403 Landmark West Tower (fourteenth floor flat),04.12.2009 999 years from 1.1.2009,EGL566147,
15.01.2010 Edged and numbered 8 in blue on supplementary plan 1,Parking Space 24 Landmark West Tower (basement level),04.12.2009 999 years from 1.1.2009,EGL566155,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 1301 Landmark West Tower (thirteenth floor flat),07.12.2009 999 years from 1.1.2009,EGL566221,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 1205 Landmark West Tower (twelfth floor flat),01.12.2009 999 years from 1.1.2009,EGL566227,
18.01.2010 Edged and numbered 9 in blue on supplementary plan 1,Parking Space 27 Landmark West Tower (basement level),07.12.2009 999 years from 1.1.2009,EGL566222,
18.01.2010 Edged and numbered 10 in blue on supplementary plan 1,Parking Space 89 Landmark West Tower (basement level),01.12.2009 999 years from 1.1.2009,EGL566228,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 2208 Landmark West Tower (twenty-second floor flat),23.12.2009 999 years from 1.1.2009,EGL566229,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 1805 Landmark West Tower (eighteenth floor flat),07.12.2009 999 years from 1.1.2009,EGL566231,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 506 Landmark West Tower (fifth floor flat),22.12.2009 999 years from 1.1.2009,EGL566234,
18.01.2010 Edged and numbered 4 in blue (part of),Flat 2807 Landmark West Tower (twenty-eighth floor flat),21.12.2009 999 years from 1.1.2009,EGL566236,
21.01.2010 Edged and numbered 4 in blue (part of),Flat 910 Landmark West Tower (ninth floor flat),11.12.2009 999 years from 1.1.2009,EGL566485,
21.01.2010 Edged and numbered 4 in blue (part of),Flat 210 Landmark West Tower (second floor flat),18.12.2009 999 years from 1.1.2009,EGL566491,
21.01.2010 Edged and numbered 4 in blue (part of),Flat 1202 Landmark West Tower (twelfth floor flat),07.12.2009 999 years from 1.1.2009,EGL566497,
