Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
28.01.2009tinted blue(part of),Transformer Chamber (GroundFloor),23.01.200999 years from23.1.2009,EGL551039,
09.07.2009Edged andnumbered 2 inblue (part of),"Endeavour House, 47 CubaStreet, London",06.07.2009125 years from1.1.2009,EGL557357,
25.09.2009Edged andnumbered 3 inblue (part of),"Mayflower House, WestferryRoad, London",10.09.2009125 years from1.1.2009,EGL560877,
16.12.2009Edged andnumbered 4 inblue (part of),"Flat 1602, Landmark WestTower(sixteenth floor)",12.11.2009999 years from1.1.2009,EGL565026,
17.12.2009Edged andnumbered 4 inblue (part of),"Flat  207, Landmark WestTower (second floor flat)",01.12.2009999 years from1.1.2009,EGL565086,
17.12.2009Edged andnumbered 4 inblue (part of),"Flat 704, Landmark WestTower (seventh floor flat)",04.12.2009999 years from1.1.2009,EGL565089,
18.12.2009Edged andnumbered 4 inblue (part of),Flat 2207 Landmark WestTower (twenty second floorflat),01.12.2009999 years from1.1.2009,EGL565182,
23.12.2009Edged andnumbered 4 inblue (part of),Flat 1201 Landmark WestTower (twelfth floor flat),01.12.2009999 years from1.1.2009,EGL565292,
23.12.2009Edged andnumbered 4 inblue (part of),Flat 403 Landmark WestTower (fourth floor flat),27.11.2009999 years from1.1.2009,EGL565293,
05.01.2010Edged andnumbered 4 inblue (part of),Flat 1105 Landmark WestTower (eleventh floor flat),01.12.2009999 years from1.1.2009,EGL565470,
06.01.2010Edged andnumbered 4 inblue (part of),Flat 1019 Landmark WestTower (tenth floor flat),02.12.2009999 years from1.1.2009,EGL565616,
08.01.2010Edged andnumbered 4 inblue (part of),Flat 203 Landmark WestTower (second floor flat),09.12.2009999 years from1.1.2009,EGL565645,
08.01.2010Edged andnumbered 6 inblue onsupplementaryplan 1,Parking Space 80 LandmarkWest Tower (basement level),12.11.2009999 years from1.1.2009,EGL565724,
08.01.2010Edged andnumbered 7 inblue onsupplementaryplan 1,Parking Space 81 LandmarkWest Tower (basement level),12.11.2009999 years from1.1.2009,EGL565725,
11.01.2010Edged andnumbered 4 inblue (part of),Flat 808 Landmark WestTower (eighth floor flat),27.11.2009999 years from1.1.2009,EGL565765,
12.01.2010Edged andnumbered 4 inblue (part of),Flat 604 Landmark WestTower (sixth floor flat),30.10.2009999 years from1.1.2009,EGL565856,
12.01.2010Edged andnumbered 4 inblue (part of),Flat 603 Landmark WestTower (sixth floor flat),30.10.2009999 years from1.1.2009,EGL565866,
13.01.2010Edged andnumbered 4 inblue (part of),Flat 1801 Landmark WestTower (eighteenth floorflat),22.12.2009999 years from1.1.2009,EGL565967,
15.01.2010Edged andnumbered 4 inblue (part of),Flat 1403 Landmark WestTower (fourteenth floorflat),04.12.2009999 years from1.1.2009,EGL566147,
15.01.2010Edged andnumbered 8 inblue onsupplementaryplan 1,Parking Space 24 LandmarkWest Tower (basement level),04.12.2009999 years from1.1.2009,EGL566155,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1301 Landmark WestTower (thirteenth floorflat),07.12.2009999 years from1.1.2009,EGL566221,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1205 Landmark WestTower (twelfth floor flat),01.12.2009999 years from1.1.2009,EGL566227,
18.01.2010Edged andnumbered 9 inblue onsupplementaryplan 1,Parking Space 27 LandmarkWest Tower (basement level),07.12.2009999 years from1.1.2009,EGL566222,
18.01.2010Edged andnumbered 10 inblue onsupplementaryplan 1,Parking Space 89 LandmarkWest Tower (basement level),01.12.2009999 years from1.1.2009,EGL566228,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 2208 Landmark WestTower (twenty-second floorflat),23.12.2009999 years from1.1.2009,EGL566229,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 1805 Landmark WestTower (eighteenth floorflat),07.12.2009999 years from1.1.2009,EGL566231,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 506 Landmark WestTower (fifth floor flat),22.12.2009999 years from1.1.2009,EGL566234,
18.01.2010Edged andnumbered 4 inblue (part of),Flat 2807 Landmark WestTower (twenty-eighth floorflat),21.12.2009999 years from1.1.2009,EGL566236,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 910 Landmark WestTower (ninth floor flat),11.12.2009999 years from1.1.2009,EGL566485,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 210 Landmark WestTower (second floor flat),18.12.2009999 years from1.1.2009,EGL566491,
21.01.2010Edged andnumbered 4 inblue (part of),Flat 1202 Landmark WestTower (twelfth floor flat),07.12.2009999 years from1.1.2009,EGL566497,
22.01.2010Edged andnumbered 4 inblue (part of),Flat 2004 Landmark WestTower (twentieth floorflat),23.12.2009999 years from1.1.2009,EGL566571,
22.01.2010Edged andnumbered 11 inblue,Parking Space 21 LandmarkWest Tower (basement level),23.12.2009999 years from1.1.2009,EGL566572,
22.01.2010Edged andnumbered 4 inblue (part of),Flat 1002 Landmark WestTower (tenth floor flat),22.12.2009999 years from1.1.2009,EGL566573,
25.01.2010Edged andnumbered 4 inblue (part of),Flat 2005 Landmark WestTower (twentieth floorflat),11.01.2010999 years from1.1.2009,EGL566661,
25.01.2010Edged andnumbered 4 inblue (part of),Flat 1001 Landmark WestTower (tenth floor flat),05.01.2010999 years from1.1.2009,EGL566670,
27.01.2010Edged andnumbered 4 inblue (part of),Flat 1408 Landmark WestTower (fourteenth floorflat),05.01.2010999 years from1.1.2009,EGL566759,
28.01.2010Edged andnumbered 4 inblue (part of),Flat 807 Landmark WestTower (eighth floor flat),11.12.2009999 years from1.1.2009,EGL566885,
28.01.2010Edged andnumbered 4 inblue (part of),Flat 1106 Landmark WestTower (eleventh floor flat),03.12.2009999 years from1.1.2009,EGL566893,
29.01.2010Edged andnumbered 4 inblue (part of),Flat 2602 Landmark WestTower (twenty sixth floorflat),23.12.2009999 years from1.1.2009,EGL566948,
29.01.2010Edged andnumbered 12 inblue on thesupplementaryplan,Parking Space 94 LandmarkWest Tower (basement level),23.12.2009999 years from1.1.2009,EGL566949,
29.01.2010Edged andnumbered 4 inblue (part of),Flat 406 Landmark WestTower (fourth floor flat),18.12.2009999 years from1.1.2009,EGL566976,
29.01.2010Edged andnumbered 13 inblue,Parking Space 68 LandmarkWest Tower (basement level),18.12.2009999 years from1.1.2009,EGL566977,
01.02.2010Edged andnumbered 4 inblue (part of),Flat 1903 Landmark WestTower (nineteenth floorflat),17.12.2009999 years from1.1.2009,EGL567027,
01.02.2010Edged andnumbered 4 inblue (part of),Flat 1311 Landmark WestTower (thirteenth floorflat),05.01.2010999 years from1.1.2009,EGL567028,
01.02.2010Edged andnumbered 4 inblue (part of),Flat 511 Landmark WestTower (fifth floor flat),23.12.2009999 years from1.1.2009,EGL567029,
02.02.2010Edged andnumbered 4 inblue (part of),Flat 208 Landmark WestTower (second floor flat),08.01.2010999 years from1.1.2009,EGL567140,
03.02.2010Edged andnumbered 4 inblue (part of),Flat 1103 Landmark WestTower (eleventh floor flat),13.01.2010999 years from1.1.2009,EGL567217,
03.02.2010Edged andnumbered 4 inblue (part of),Flat 2304 Landmark WestTower (twenty third floorflat),20.11.2009999 years from1.1.2009,EGL567254,
04.02.2010Edged andnumbered 4 inblue (part of),Flat 1308 Landmark WestTower (thirteenth floorflat),12.01.2010999 years from1.1.2009,EGL567339,
04.02.2010Edged andnumbered 4 inblue (part of),Flat 1409 Landmark WestTower (fourteenth floorflat),03.12.2009999 years from1.1.2009,EGL567362,
04.02.2010Edged andnumbered 4 inblue (part of),Flat 1401 Landmark WestTower (fourteenth floorflat),03.12.2009999 years from1.1.2009,EGL567404,
05.02.2010Edged andnumbered 4 inblue (part of),Flat 1108 Landmark WestTower (eleventh floor flat),20.01.2010999 years from1.1.2009,EGL567463,
05.02.2010Edged andnumbered 4 inblue (part of),Flat 802 Landmark WestTower (eighth floor flat),07.01.2010999 years from1.1.2009,EGL567464,
05.02.2010Edged andnumbered 4 inblue (part of),Flat 803 Landmark WestTower (eighth floor flat),08.01.2010999 years from1.1.2009,EGL567465,
08.02.2010Edged andnumbered 4 inblue (part of),Flat 2103 Landmark WestTower (twenty-first floorflat),12.01.2010999 years from1.1.2009,EGL567543,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2209 Landmark WestTower (twenty-second floorflat),22.01.2010999 years from1.1.2009,EGL567583,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1109 Landmark WestTower (eleventh floor flat),22.01.2010999 years from1.1.2009,EGL567585,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2202 Landmark WestTower (twenty-second floorflat),05.01.2010999 years from1.1.2009,EGL567606,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2007 Landmark WestTower (twentieth floor),07.01.2010999 years from1.1.2009,EGL567607,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2008 Landmark WestTower (twentieth floorflat),07.01.2010999 years from1.1.2009,EGL567609,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2009 Landmark WestTower (twentieth floorflat),07.01.2010999 years from1.1.2009,EGL567610,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1910 Landmark WestTower (nineteenth floorflat),23.12.2009999 years from1.1.2009,EGL567613,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2006 Landmark WestTower (twentieth floorflat),07.01.2010999 years from1.1.2009,EGL567617,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1701 Landmark WestTower (seventeenth floorflat),11.01.2010999 years from1.1.2009,EGL567625,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 2010 Landmark WestTower (twentieth floorflat),07.01.2010999 years from1.1.2009,EGL567628,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1902 Landmark WestTower (nineteenth floorflat),21.01.2010999 years from1.1.2009,EGL567636,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1806 Landmark WestTower (eighteenth floorflat),07.01.2010999 years from1.1.2009,EGL567635,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 201 Landmark WestTower (second floor flat),18.12.2009999 years from1.1.2009,EGL567645,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 407 Landmark WestTower (fourth floor flat),23.12.2009999 years from1.1.2009,EGL567648,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1204 Landmark WestTower (twelfth floor flat),05.01.2010999 years from1.1.2009,EGL567650,
09.02.2010Edged andnumbered 4 inblue (part of),Flat 1909 Landmark WestTower (nineteenth floorflat),08.01.2010999 years from1.1.2009,EGL567656,
10.02.2010Edged andnumbered 4 inblue (part of),Flat 1802 Landmark WestTower (eighteenth floorflat),07.01.2010999 years from1.1.2009,EGL567711,
11.02.2010Edged andnumbered 4 inblue (part of),Flat 1203 Landmark WestTower (twelfth floor flat),11.01.2010999 years from1.1.2009,EGL567778,
12.02.2010Edged andnumbered 4 inblue (part of),Flat 801 Landmark WestTower (eighth floor flat),08.01.2010999 years from1.1.2009,EGL567826,
12.02.2010Edged andnumbered 4 inblue (part of),Flat 811 Landmark WestTower (eighth floor flat),11.01.2010999 years from1.1.2009,EGL567827,
12.02.2010Edged andnumbered 4 inblue (part of),Flat 810 Landmark WestTower (eighth floor flat),11.01.2010999 years from1.1.2009,EGL567828,
15.02.2010Edged andnumbered 4 inblue (part of),Flat 2501 Landmark WestTower (twenty-fifth floorflat),28.01.2010999 years from1.1.2009,EGL567880,
15.02.2010Edged andnumbered 4 inblue (part of),Flat 509 Landmark WestTower (fifth floor flat),21.01.2010999 years from1.1.2009,EGL567889,
15.02.2010Edged andnumbered 4 inblue (part of),Flat 401 Landmark WestTower (fourth floor flat),29.01.2010999 years from1.1.2009,EGL567897,
16.02.2010Edged andnumbered 4 inblue (part of),Flat 211 Landmark WestTower (second floor flat),22.01.2010999 years from1.1.2009,EGL567920,
16.02.2010Edged andnumbered 4 inblue (part of),Flat 1908 Landmark WestTower (nineteenth floorflat),01.02.2010999 years from1.1.2009,EGL567939,
16.02.2010Edged andnumbered 4 inblue (part of),Flat 2301 Landmark WestTower (twenty third floorflat),18.01.2010999 years from1.1.2009,EGL567951,
16.02.2010Edged andnumbered 18and 184 inblue onsupplementaryplan 1,Parking spaces 86 and 87Landmark West Tower(basement level),18.01.2010999 years from1.1.2009,EGL567960,
17.02.2010Edged andnumbered 4 inblue (part of),Flat 2003 Landmark WestTower (twentieth floorflat),23.12.2009999 years from1.1.2009,EGL567980,
17.02.2010Edged andnumbered 4 inblue (part of),Flat 2002 Landmark WestTower (twentieth floorflat),23.12.2009999 years from1.1.2009,EGL567988,
17.02.2010Edged andnumbered 4 inblue (part of),Flat 2804 Landmark WestTower (twenty eighth floorflat),11.01.2010999 years from1.1.2009,EGL568005,
07.02.2010Edged andnumbered 14 inblue onsupplementaryplan 1,Parking space 91 LandmarkWest Tower (basement level),18.01.2010999 years from1.1.2009,EGL568010,
18.02.2010Edged andnumbered 4 inblue (part of),Flat 1209 Landmark WestTower (twelfth floor flat),15.01.2010999 years from1.1.2009,EGL568032,
18.02.2010Edged andnumbered 4 inblue (part of),Flat 1309 Landmark WestTower (thirteenth floorflat),29.01.2010999 years from1.1.2009,EGL568048,
19.02.2010Edged andnumbered 4 inblue (part of),Flat 1808 Landmark WestTower (eighteenth floorflat),22.12.2009999 years from1.1.2009,EGL568086,
19.02.2010Edged andnumbered 15 inblue onsupplementaryplan 1,Parking Space 22 LandmarkWest Tower (basement level),22.12.2009999 years from1.1.2009,EGL568088,
22.02.2010Edged andnumbered 4 inblue (part of),Flat 2308 Landmark WestTower (twenty third floorflat),03.02.2010999 years from1.1.2009,EGL568130,NOTE: See entry in the Charges Register rel ating to a Deed o f 93 93  Rectification d ated 26 January 2018   93 0
22.02.2010Edged andnumbered 4 inblue (part of),Flat 1704 Landmark WestTower (seventeenth floorflat),04.01.2010999 years from1.1.2009,EGL568139,
22.02.2010Edged andnumbered 16 inblue onsupplementaryplan 1,Parking Space 29 LandmarkWest Tower (basement level),04.01.2010999 years from1.1.2009,EGL568148,
23.02.2010Edged andnumbered 4 inblue (part of),Flat 605 Landmark WestTower (sixth floor flat),22.01.2010999 years from1.1.2009,EGL568191,
23.02.2010Edged andnumbered 17 inblue onsupplementaryplan 1,Parking Space 72 LandmarkWest Tower (basement level),22.01.2010999 years from1.1.2009,EGL568195,
23.02.2010Edged andnumbered 4 inblue (part of),Flat 2701 Landmark WestTower (twenty seventh floorflat),29.01.2010999 years from1.1.2009,EGL568209,
23.02.2010Edged andnumbered 4 inblue (part of),Flat 2710 Landmark WestTower (twenty seventh floorflat),29.01.2010999 years from1.1.2009,EGL568211,
24.02.2010Edged andnumbered 4 inblue (part of),Flat 1904 Landmark WestTower (nineteenth floorflat),12.02.2010999 years from1.1.2009,EGL568220,
24.02.2010Edged andnumbered 4 inblue (part of),Flat 2210 Landmark WestTower (twenty second floorflat),10.02.2010999 years from1.1.2009,EGL568222,
26.02.2010Edged andnumbered 4 inblue (part of),Flat 1705 Landmark WestTower (seventeenth floorflat),22.12.2009999 years from1.1.2009,EGL568355,
26.02.2010Edged andnumbered 4 inblue (part of),Flat 711 Landmark WestTower (seventh floor flat),29.01.2010999 years from1.1.2009,EGL568357,
26.02.2010Edged andnumbered 4 inblue (part of),Flat 1703 Landmark WestTower (seventeenth floorflat),26.01.2010999 years from1.1.2009,EGL568359,
26.02.2010Edged andnumbered 19 inblue onsupplementaryplan 1,Parking Space 23 LandmarkWest Tower (basement level),26.01.2010999 years from1.1.2009,EGL568360,
01.03.2010Edged andnumbered 4 inblue (part of),Flat 2604 Landmark WestTower (twenty sixth floorflat),12.02.2010999 years from1.1.2009,EGL568242,
01.03.2010Edged andnumbered 4 inblue (part of),Flat 2407 Landmark WestTower (twenty fourth floorflat),02.02.2010999 years from1.1.2009,EGL568433,
02.03.2010Edged andnumbered 4 inblue (part of),Flat 1008 Landmark WestTower (fourth floor flat),08.12.2009999 years from1.1.2009,EGL568450,
02.03.2010Edged andnumbered 4 inblue (part of),Flat 409 Landmark WestTower (fourth floor flat),04.12.2009999 years from1.1.2009,EGL568464,
02.03.2010Edged andnumbered 4 inblue (part of),Flat 2510 Landmark WestTower (twenty fifth floorflat),09.02.2010999 years from1.1.2009,EGL568471,
02.03.2010Edged andnumbered 20 inblue onsupplementaryplan 1,Parking Space 96 LandmarkWest Tower (basement level),09.02.2010999 years from1.1.2009,EGL568472,
02.03.2010Edged andnumbered 4 inblue (part of),Flat 1206 Landmark WestTower (twelfth floor flat),27.11.2009999 years from1.1.2009,EGL568495,
02.03.2010Edged andnumbered 5 inblue onsupplementaryplan 1,Parking Space 97 LandmarkWest Tower (basement level),27.11.2009999 years from1.1.2009,EGL568496,
02.03.2010Edged andnumbered 4 inblue (part of),Flat 1406 Landmark WestTower (fourteenth floorflat),08.12.2009999 years from1.1.2009,EGL568497,
03.03.2010Edged andnumbered 4 inblue (part of),Flat 2001 Landmark WestTower (twentieth floorflat),09.02.2010999 years from1.1.2009,EGL568589,
04.03.2010Edged andnumbered 4 inblue (part of),Flat 1107 Landmark WestTower (eleventh floor flat),13.01.2010999 years from1.1.2009,EGL568634,
04.03.2010Edged andnumbered 4 inblue (part of),Flat 2409 Landmark WestTower (twenty-fourth floorflat),05.02.2010999 years from1.1.2009,EGL568641,
04.03.2010Edged andnumbered 4 inblue (part of),Flat 1405 Landmark WestTower (fourteenth floorflat),29.01.2010999 years from1.1.2009,EGL568643,
04.03.2010Edged andnumbered 21 inblue onsupplementaryplan 1,Parking Space 73 LandmarkWest Tower (basement levelparking space),29.01.2010999 years from1.1.2009,EGL568644,
08.03.2010Edged andnumbered 4 inblue (part of),Flat 1410 Landmark WestTower (fourteenth floorflat),29.01.2010999 years from1.1.2009,EGL568726,
08.03.2010Edged andnumbered 4 inblue (part of),Flat 701 Landmark WestTower (seventh floor flat),22.12.2009999 years from1.1.2009,EGL568751,
09.03.2010Edged andnumbered 4 inblue (part of),Flat 508 Landmark WestTower (fifth floor flat),08.01.2010999 years from1.1.2009,EGL568796,
09.03.2010Edged andnumbered 4 inblue (part of),Flat 1504 Landmark WestTower (fifteenth floorflat),09.02.2010999 years from1.1.2009,EGL568806,
09.03.2010Edged andnumbered 22 inblue onsupplementaryplan 1,Parking Space 61 LandmarkWest Tower (basement levelparking space),09.02.2010999 years from1.1.2009,EGL568807,
11.03.2010Edged andnumbered 4 inblue (part of),Flat 411 Landmark WestTower (fourth floor flat),18.02.2010999 years from1.1.2009,EGL568955,
11.03.2010Edged andnumbered 4 inblue (part of),Flat 809 Landmark WestTower (eighth floor flat),16.02.2010999 years from1.1.2009,EGL568956,
11.03.2010Edged andnumbered 4 inblue (part of),Flat 2303 Landmark WestTower (twenty-third floorflat),29.01.2010999 years from1.1.2009,EGL568957,
11.03.2010Edged andnumbered 4 inblue (part of),Flat 2610 Landmark WestTower (twenty-sixth floorflat),19.02.2010999 years from1.1.2009,EGL568958,
11.03.2010Edged andnumbered 23 inblue onsupplementaryplan 1,Parking Space 6 LandmarkWest Tower (basement level),19.02.2010999 years from1.1.2009,EGL568959,
12.03.2010Edged andnumbered 5 inblue (part of),Apartments 1-54 WhitbyHouse,17.02.2010125 years from1.1.2009,EGL569033,
15.03.2010Edged andnumbered 24 inblue onsupplementaryplan 1,Parking Space 90 LandmarkWest Tower (basement level),08.02.2010999 years from1.1.2009,EGL569065,
15.03.2010Edged andnumbered 4 inblue (part of),Flat 1402 Landmark WestTower (fourteenth floorflat),19.02.2010999 years from1.1.2009,EGL569080,
15.03.2010Edged andnumbered 4 inblue (part of),Flat 2601 Landmark WestTower (twenty-sixth floorflat),18.02.2010999 years from1.1.2009,EGL569093,
15.03.2010Edged andnumbered 25 inblue onsupplementaryplan 1,Parking Space 75 LandmarkWest Tower (basement levelparking space),18.02.2010999 years from1.1.2009,EGL569094,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 134 134  dated 12 Octobe r 2015.   134 0
16.03.2010Edged andnumbered 4 inblue (part of),Flat 1307 Landmark WestTower (thirteenth floorflat),11.02.2010999 years from1.1.2009,EGL569150,
17.03.2010Edged andnumbered 4 inblue (part of),Flat 1404 Landmark WestTower (fourteenth floorflat),08.02.2010999 years from1.1.2009,EGL569190,
17.03.2010Edged andnumbered 4 inblue (part of),Flat 1009 Landmark WestTower (tenth floor flat),19.02.2010999 years from1.1.2009,EGL569191,
17.03.2010Edged andnumbered 4 inblue (part of),Flat 2105 Landmark WestTower (twenty-first floorflat),08.02.2010999 years from1.1.2009,EGL569201,
17.03.2010Edged andnumbered 26 inblue onsupplementaryplan 1,Parking Space 65 LandmarkWest Tower (basement levelparking space),08.02.2010999 years from1.1.2009,EGL569203,
17.03.2010Edged andnumbered 4 inblue (part of),Flat 2110 Landmark WestTower (twenty-first floorflat),09.02.2010999 years from1.1.2009,EGL569211,
17.03.2010Edged andnumbered 27 inblue onsupplementaryplan 1,Parking Space 88 LandmarkWest Tower (basement levelparking space),09.02.2010999 years from1.1.2009,EGL569212,
17.03.2010Edged andnumbered 4 inblue (part of),Flat 2605 Landmark WestTower (twenty-sixth floorflat),09.02.2010999 years from1.1.2009,EGL569213,
17.03.2010Edged andnumbered 28 inblue onsupplementaryplan 1,Parking Space 64 LandmarkWest Tower (basement levelparking space),09.03.2010999 years from1.1.2009,EGL569214,
19.03.2010Edged andnumbered 4 inblue (part of),Flat 709 Landmark WestTower (seventh floor flat),05.02.2010999 years from1.1.2009,EGL569303,
22.03.2010Edged andnumbered 4 inblue (part of),Flat 503 Landmark WestTower (fifth floor flat),08.02.2010999 years from1.1.2009,EGL569349,
22.03.2010Edged andnumbered 4 inblue (part of),Flat 1809 Landmark WestTower (eighteenth floorflat),24.02.2010999 years from1.1.2009,EGL569350,
23.03.2010Edged andnumbered 4 inblue (part of),Flat 2404 Landmark WestTower (twenty-fourth floorflat),16.02.2010999 years from1.1.2009,EGL569399,
23.03.2010Edged andnumbered 4 inblue (part of),Flat 902 Landmark WestTower (ninth floor flat),23.03.2010999 years from1.1.2009,EGL569401,
23.03.2010Edged andnumbered 4 inblue (part of),Flat 909 Landmark WestTower (ninth floor flat),24.02.2010999 years from1.1.2009,EGL569406,
26.03.2010Edged andnumbered 4 inblue (part of),Flat 2305 Landmark WestTower (twenty-third floorflat),04.03.2010999 years from1.1.2009,EGL569609,
26.03.2010Edged andnumbered 29 inblue onsupplementaryplan 1,Parking space 10 LandmarkWest  Tower (basementlevel),04.03.2010999 years from1.1.2009,EGL569610,
29.03.2010Edged andnumbered 4 inblue (part of),Flat 1208 Landmark WestTower (twelfth floor flat),25.02.2010999 years from1.1.2009,EGL569677,
30.03.2010Edged andnumbered 4 inblue (part of),Flat 911 Landmark WestTower (ninth floor flat),01.03.2010999 years from1.1.2009,EGL569723,
30.03.2010Edged andnumbered 4 inblue (part of),Flat 901 Landmark WestTower (ninth floor flat),01.03.2010999 years from1.1.2009,EGL569736,
30.03.2010Edged andnumbered 4 inblue (part of),Flat 2204 Landmark WestTower (twenty-second floorflat),19.02.2010999 years from1.1.2009,EGL569738,
30.03.2010Edged andnumbered 4 inblue (part of),Flat 1601 Landmark WestTower (sixteenth floorflat),09.12.2009999 years from1.1.2009,EGL569741,
30.03.2010Edged andnumbered 30 inblue onsupplementaryplan 1,Parking space 60 LandmarkWest Tower (basement level),09.12.2009999 years from1.1.2009,EGL569744,
30.03.2010Edged andnumbered 4 inblue (part of),Flat 1306 Landmark WestTower (thirteenth floorflat),25.02.2010999 years from1.1.2009,EGL569761,
01.04.2010Edged andnumbered 4 inblue (part of),Flat 1407 Landmark WestTower (fourteenth floorflat),12.03.2010999 years from1.1.2009,EGL569852,
01.04.2010Edged andnumbered 4 inblue (part of),Flat 707 Landmark WestTower (seventh floor flat),05.03.2010999 years from1.1.2009,EGL569853,
01.04.2010Edged andnumbered 4 inblue (part of),Flat 1411 Landmark WestTower (fourteenth floorflat),05.03.2010999 years from1.1.2009,EGL569854,
07.04.2010Edged andnumbered 4 inblue (part of),Flat 209 Landmark WestTower (second floor flat),24.03.2010999 years from1.1.2009,EGL570017,
08.04.2010Edged andnumbered 4 inblue (part of),Flat 1003 Landmark WestTower (tenth floor flat),16.03.2010999 years from1.1.2009,EGL570058,
08.04.2010Edged andnumbered 4 inblue (part of),Flat 904 Landmark WestTower (ninth floor flat),05.03.2010999 years from1.1.2009,EGL570090,
09.04.2010Edged andnumbered 4 inblue (part of),Flat 2106 Landmark WestTower (twenty first floorflat),26.02.2010999 years from1.1.2009,EGL570142,
09.04.2010Edged andnumbered 1 inblue onsupplementaryplan 1,Parking space 74 LandmarkWest Tower (basement level),26.02.2010999 years from1.1.2009,EGL570143,
12.04.2010Edged andnumbered 4 inblue (part of),Flat 2805 Landmark WestTower (twenty eighth floorflat),12.03.2010999 years from1.1.2009,EGL570171,
12.04.2010Edged andnumbered 2 inblue onsupplementaryplan 1,Parking space 76 (basementlevel),12.03.2010999 years from1.1.2009,EGL570173,
12.04.2010Edged andnumbered 4 inblue (part of),Flat 908 Landmark WestTower (ninth floor flat),01.04.2010999 years from1.1.2009,EGL570194,
13.04.2010Edged andnumbered 4 inblue (part of),Flat 1104 Landmark WestTower (eleventh floor flat),16.02.2010999 years from1.1.2009,EGL570264,
13.04.2010Edged andnumbered 4 inblue (part of),Flat 1907 Landmark WestTower (nineteenth floorflat),10.02.2010999 years from1.1.2009,EGL570265,
14.04.2010Edged andnumbered 4 inblue (part of),Flat 1007 Landmark WestTower (tenth floor flat),16.03.2010999 years from1.1.2009,EGL570322,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 501 Landmark WestTower (fifth floor flat),24.02.2010999 years from1.1.2009,EGL570331,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 1901 Landmark WestTower (nineteenth floorflat),16.02.2010999 years from1.1.2009,EGL570333,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 1905 Landmark WestTower (nineteenth floorflat),16.02.2010999 years from1.1.2009,EGL570335,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 1906 Landmark WestTower (nineteenth floorflat),16.02.2010999 years from1.1.2009,EGL570336,
15.05.2010Edged andnumbered 4 inblue (part of),Flat 1305 Landmark WestTower (thirteenth floorflat),25.03.2010999 years from1.1.2009,EGL570338,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 705 Landmark WestTower (seventh floor flat),11.02.2010999 years from1.1.2009,EGL570340,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 1702 Landmark WestTower (seventeenth floorflat),08.01.2010999 years from1.1.2009,EGL570341,
15.04.2010Edged andnumbered 3 inblue onsupplementaryplan 1,Parking space 15 LandmarkWest Tower (basement level),11.02.2010999 years from1.1.2009,EGL570358,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 2808 Landmark WestTower (twenty eighth floorflat),23.03.2010999 years from1.1.2009,EGL570362,
15.04.2010Edged andnumbered 4 inblue (part of),Flat 2809 Landmark WestTower (twenty eighth floorflat),15.03.2010999 years from1.1.2009,EGL570363,
19.04.2010Edged andnumbered 4 inblue (part of),Flat 2801 Landmark WestTower (twenty eighth floorflat),04.03.2010999 years from1.1.2009,EGL570459,
19.04.2010Edged andnumbered 4 inblue onsupplementaryplan 1,Parking space 63 LandmarkWest Tower (basement level),04.03.2010999 years from1.1.2009,EGL570462,
20.04.2010Edged andnumbered 4 inblue (part of),Flat 1810 Landmark WestTower (eighteenth floorflat),25.02.2010999 years from1.1.2009,EGL570549,
21.04.2010Edged andnumbered 4 inblue (part of),Flat 1304 Landmark WestTower (thirteenth floorflat),15.02.2010999 years from1.1.2009,EGL570612,
21.04.2010Edged andnumbered 4 inblue (part of),Flat 1004 Landmark WestTower (tenth floor flat),18.02.2010999 years from1.1.2009,EGL570624,
20.04.2010Edged andnumbered 4 inblue (part of),Flat 1810 Landmark WestTower (eighteenth floorflat),25.02.2010999 years from1.1.2009,EGL570549,
