Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
04.08.2011Edged andnumbered 5 inblue (part of),Flat 3702 Landmark EastTower (thirty seventh floorflat),05.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237576,
04.08.2011Edged andnumbered 5 inblue (part of),Flat 3502 Landmark EastTower (thirty fifth floorflat),05.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237577,
05.08.2011Edged andnumbered 5 inblue (part of),Flat 3803 Landmark EastTower (thirty eighth floorflat),05.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237612,
05.08.2011137 in blue onthesupplementaryplan,Parking space 99 (basementlevel),04.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237612,
10.08.2011Edged andnumbered 5 inblue (part of),Flat 4005 Landmark EastTower (fortieth floor flat),25.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237862,
10.08.2011138 in blue onthesupplementaryplan,Parking space 140 (basementlevel),29.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237883,
11.08.2011Edged andnumbered 5 inblue (part of),Flat 3203 Landmark EastTower (thirty second floorflat),24.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237947,
11.08.2011Edged andnumbered 5 inblue (part of),Flat 2010 Landmark EastTower (twentieth floorflat),15.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237962,
11.08.2011Edged andnumbered 5 inblue (part of),Flat 301 Landmark EastTower (third floor flat),30.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237965,
12.08.2011Edged andnumbered 5 inblue (part of),Flat 2901 Landmark EastTower (twenty ninth floorflat),23.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238048,
12.08.2011Edged andnumbered 5 inblue (part of),Flat 409 Landmark EastTower (fourth floor flat),30.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238069,
12.08.2011Edged andnumbered 5 inblue (part of),Flat 1710 Landmark EastTower (seventeenth floorflat),15.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238076,
12.08.2011Edged andnumbered 5 inblue (part of),Flat 2510 Landmark EastTower (twenty fifth floorflat),01.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238127,
12.08.2011139 in blue onthesupplementaryplan,Parking space 103 (basementlevel),01.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238127,
17.08.2011Edged andnumbered 5 inblue (part of),Flat 4210 Landmark EastTower (forty second floorflat),14.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238344,
17.08.2011Edged andnumbered 5 inblue (part of),Flat 1905 Landmark EastTower (nineteenth floorflat),24.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238377,
17.08.2011Edged andnumbered 5 inblue (part of),Flat 3802 Landmark EastTower (thirty eighth floorflat),22.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238438,
18.08.2011Edged andnumbered 5 inblue (part of),Flat 1910 Landmark EastTower (nineteenth floorflat),27.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238469,
18.08.2011Edged andnumbered 5 inblue (part of),Flat 201 Landmark EastTower (second floor flat),24.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238472,
18.08.2011Edged andnumbered 5 inblue (part of),Flat 3503 Landmark EastTower (thirty fifth floorflat),16.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238475,
18.08.2011Edged andnumbered 5 inblue (part of),Flat 4103 Landmark EastTower (forty third floorflat),08.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238541,
18.08.2011Edged andnumbered 5 inblue (part of),Flat 2603 Landmark EastTower (twenty sixth floorflat),08.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238549,
22.08.2011Edged andnumbered 5 inblue (part of),Flat 3105 Landmark EastTower (thirty first floorflat),27.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL238659,
26.08.2011140 in blue onthesupplementaryplan,Parking space 5 (basementlevel),10.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239050,
26.08.2011Edged andnumbered 5 inblue (part of),Flat 2610 Landmark EastTower (twenty sixth floorflat),24.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239077,
26.08.2011Edged andnumbered 5 inblue (part of),Flat 309 Landmark EastTower (third floor flat),20.06.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239082,
26.08.2011Edged andnumbered 5 inblue (part of),Flat 4102 Landmark EastTower (forty first floorflat),01.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239086,
26.08.2011Edged andnumbered 5 inblue (part of),Flat 1801 Landmark EastTower (eighteenth floorflat),04.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239095,
26.08.2011141 in blue onthesupplementaryplan,Parking space 102 (basementlevel),04.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239095,
01.09.2011Edged andnumbered 5 inblue (part of),Flat 3505 Landmark EastTower (thirty fifth floorflat),12.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239366,
02.09.2011Edged andnumbered 4 inblue (part of),Flat 1501 Landmark WestTower (fifteenth floorflat),22.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL239442,
15.09.2011Edged andnumbered 5 inblue (part of),Flat 3310 Landmark EastTower (thirty third floorflat),19.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240198,
15.09.2011Edged andnumbered 5 inblue (part of),Flat 1106 Landmark EastTower (eleventh floor flat),25.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240203,
15.09.2011Edged andnumbered 5 inblue (part of),Flat 4003 Landmark EastTower (fortieth floor flat),26.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240228,
15.09.2011142 in blue onthesupplementaryplan,Parking space 138 (basementlevel),26.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240228,
20.09.2011Edged andnumbered 5 inblue (part of),Flat 3010 Landmark EastTower (thirtieth floorflat),08.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240441,
20.09.2011143 in blue onthesupplementaryplan,Parking space 169 (basementlevel),08.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240441,
27.09.2011144 in blue onthesupplementaryplan,Parking space 44 (basementlevel),14.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240862,
27.09.2011145 in blue onthesupplementaryplan,Parking space 194 (basementlevel),24.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240979,
28.09.2011Edged andnumbered 5 inblue (part of),Flat 2205 Landmark EastTower (twenty first floorflat),24.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240985,
28.09.2011Edged andnumbered 5 inblue (part of),Flat 3210 Landmark EastTower (thirty second floorflat),26.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL240999,
07.10.2011Edged andnumbered 5 inblue (part of),Flat 3201 Landmark EastTower (thirty second floorflat),30.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL241631,
11.10.2011146 in blue onthesupplementaryplan,Parking space 9 (basementlevel),29.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL241825,
11.10.2011Edged andnumbered 4 inblue (part of),Flat 2306 Landmark WestTower (twenty third floorflat),29.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL241825,
19.10.2011Edged andnumbered 5 inblue (part of),Flat 3606 Landmark EastTower (thirty sixth floorflat),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242313,
19.10.2011147 and 148 inblue on thesupplementaryplan,Parking spaces 170 and 171(basement level),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242313,
19.10.2011Edged andnumbered 5 inblue (part of),Flat 1606 Landmark EastTower (sixteenth floorflat),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242349,
19.10.2011149 in blue onthesupplementaryplan,Parking space 153 (basementlevel),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242349,
19.10.2011Edged andnumbered 5 inblue (part of),Flat 4105 Landmark EastTower (forty first floorflat),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242352,
19.10.2011150 in blue onthesupplementaryplan,Parking space 132 (basementlevel),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242352,
19.10.2011Edged andnumbered 4 inblue (Part of),Flat 2506 Landmark WestTower (twenty fifth floorflat),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242369,
19.10.2011151 in blue onthesupplementaryplan,Parking space 84 (basementlevel),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242369,
19.10.2011Edged andnumbered 4 inblue (part of),Flat 2902 Landmark WestTower (twenty ninth floorflat),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242371,
19.10.2011152 and 153 inblue on thesupplementaryplan,Parking spaces 53 and 54(basement level),27.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242371,NOTE: See the e ntry in the charges register relating to the Deed of 769 769  Rectification d ated 14 December 2011.   769 0
20.10.2011Edged andnumbered 5 inblue (part of),Flat 4403 Landmark EastTower (forty fourth floorflat),07.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242453,
20.10.2011154 and 155 inblue on thesupplementaryplan,Parking spaces 184 and 185(basement level),07.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242453,
